Theme,Narrative,Count
Ukraine War label taxonomy,Other,0
Ukraine War label taxonomy,Blaming the war on others rather than the invader,0
Ukraine War label taxonomy,Discrediting Ukraine,0
Ukraine War label taxonomy,Russia is the Victim,0
Ukraine War label taxonomy,Praise of Russia,0
Ukraine War label taxonomy,Overpraising the West,0
Ukraine War label taxonomy,Speculating war outcomes,0
Ukraine War label taxonomy,"Discrediting the West, Diplomacy",0
Ukraine War label taxonomy,Negative Consequences for the West,0
Ukraine War label taxonomy,Distrust towards Media,0
Ukraine War label taxonomy,Amplifying war-related fears,0
Ukraine War label taxonomy,Hidden plots by secret schemes of powerful groups,0
Climate Change label taxonomy,Other,0
Climate Change label taxonomy,Criticism of climate policies,0
Climate Change label taxonomy,Criticism of institutions and authorities,0
Climate Change label taxonomy,Climate change is beneficial,0
Climate Change label taxonomy,Downplaying climate change,0
Climate Change label taxonomy,Questioning the measurements and science,0
Climate Change label taxonomy,Criticism of climate movement,0
Climate Change label taxonomy,Controversy about green technologies,0
Climate Change label taxonomy,Hidden plots by secret schemes of powerful groups,0
Climate Change label taxonomy,Amplifying Climate Fears,0
Climate Change label taxonomy,Green policies are geopolitical instruments,0
